slug,ubc_page_title,found_title,ubc_author,pub_year,ubc_description,ol_title,ol_author,ol_isbn,ol_cover,source_url
online-resource-coordinators-educators-considerations-early-childhood-education-regarding-refugee-immigrant-students,Online resource for coordinators and educators on considerations for early childhood education regarding refugee and immigrant students,Online resource for coordinators and educators on considerations for early childhood education regarding refugee and immigrant students,Kerry H,,"Diversity and difference in early childhood education: Issues for theory and practice, written by Kerry H. Robinson and Criss Jones Diaz (2005), increases the theoretical understandings of early childhood education and development in relation to diversity, difference, and social justice. The book is",,,,,https://www.selresources.com/sel/online-resource-coordinators-educators-considerations-early-childhood-education-regarding-refugee-immigrant-students/
acknowledging-educational-needs-students-times-crisis-disaster-book-essays,Acknowledging educational needs of students in times of crisis and disaster: A book of essays,Acknowledging educational needs of students in times of crisis and disaster,Kevin M,,"Even in chaos: Education in times of emergency, written by Kevin M. D. Cahill and Miguel H. E. D’Escoto (2010), concentrates on the necessity and importance of education, even in times of conflict and disaster. The book is separated into three sections, each containing essays written by subject matt",,,,,https://www.selresources.com/sel/acknowledging-educational-needs-students-times-crisis-disaster-book-essays/
online-resource-coordinators-educators-early-childhood-education-refugee-immigrant-students,Online resource for coordinators and educators on early childhood education for refugee and immigrant students,Online resource for coordinators and educators on early childhood education for refugee and immigrant students,,,,,,,,https://www.selresources.com/sel/online-resource-coordinators-educators-early-childhood-education-refugee-immigrant-students/
resource-creating-supportive-school-environments-refugee-students,A resource on creating supportive school environments for refugee students,A resource on creating supportive school environments for refugee students,,,"Life after war: Education as a healing process for refugee and war-affected children, written by Tony Tavares and Isle Slotin (2012), is an e-book that provides information for educators, school support staff, and school community members about special emotional, social, and psychological considerat",,,,,https://www.selresources.com/sel/resource-creating-supportive-school-environments-refugee-students/
teaching-young-children-difference-bullying-teasing-storybook,Teaching young children the difference between bullying and teasing: A storybook,Teaching young children the difference between bullying and teasing,Julia Cook,,"Tease Monster, written by Julia Cook and illustrated by Anita Du Falla (2013), is a storybook targeted for children 4 years of age or older that teaches the difference between teasing and bullying. The story is centered on “One-of-a-Kind”, who likes to do things that other students find funny, so On",,,,,https://www.selresources.com/sel/teaching-young-children-difference-bullying-teasing-storybook/
teaching-children-transgender-students-novel,Teaching children about transgender students: A novel,Teaching children about transgender students,,,"George, written by Alex Gino (2015), is a book for middle school children that focuses on the main character, George, and her story about learning to be who she is in a world that doesn’t see her in the way she sees herself. George is a transgender female student trapped in a world that doesn’t [...",,,,,https://www.selresources.com/sel/teaching-children-transgender-students-novel/
supporting-refugee-children-schools-reference-guide,Supporting refugee children in schools: A reference guide,Supporting refugee children in schools,,,"Supporting refugee children: Strategies for educators, written by Jan Stewart (2011), Associate professor in the Faculty of Education at the University of Winnipeg, provides educators, researchers, counsellors, and social workers with an invaluable resource about special considerations regarding ref",,,,,https://www.selresources.com/sel/supporting-refugee-children-schools-reference-guide/
teaching-young-children-not-tattle-others-storybook,Teaching young children to not tattle on others: A storybook,Teaching young children to not tattle on others,Julia Cook,,"A Bad Case of Tattle Tongue, written by Julia Cook and illustrated by Anita Du Falla, is a storybook targeted for children 4 years of age or older that teaches about the difference between tattle taling and warning others regarding important matters. The story is centered on a young boy named Josh, ",,,,,https://www.selresources.com/sel/teaching-young-children-not-tattle-others-storybook/
teaching-children-respect-others-personal-space-storybook,Teaching children respect for other&#039;s personal space: A storybook,Teaching children respect for other&#039;s personal space,Julia Cook,,"Published in 2007 and written by Julia Cook and illustrated by Carrie Hartman, Personal Space Camp teaches young children about respecting other’s personal space. The storybook follows a young boy, Louis, who often invades the personal space of his classmates and friends. Although Louis does not mea",,,,,https://www.selresources.com/sel/teaching-children-respect-others-personal-space-storybook/
teaching-young-children-to-wait-their-turn-before-speaking-a-storybook,Teaching young children to wait their turn before speaking: A storybook,Teaching young children to wait their turn before speaking,Julia Cook,,"My Mouth is a Volcano, written by Julia Cook and illustrated by Carrie Hartman, is a storybook targeted for children 4 years of age or older that highlights the importance of waiting one’s turn before speaking. The story is centered on a young boy named Louis. When Louis listens to his parents, teac",,,,,https://www.selresources.com/sel/teaching-young-children-to-wait-their-turn-before-speaking-a-storybook/
classroom-strategies-fostering-self-regulated-learning-students-pre-k-grade-6,Classroom Strategies for Fostering Self,Classroom Strategies for Fostering Self,,,,,,,,https://www.selresources.com/sel/classroom-strategies-fostering-self-regulated-learning-students-pre-k-grade-6/
